%time,field.data
1557352528114296453,290414
1557352528164684878,290414
1557352528214526172,290414
1557352528264615564,290414
1557352528314611877,290414
1557352528364841076,290414
1557352528414524028,290414
1557352528464613895,290414
1557352528514718704,290414
1557352528564555580,290414
1557352528614661994,290414
1557352528664854736,290414
1557352528714849703,290414
1557352528764838236,290414
1557352528815501258,290414
1557352528865530640,290414
1557352528915294424,290414
1557352528965349275,290414
1557352529015376209,290414
1557352529065964552,290414
1557352529115526447,290414
1557352529166052141,290414
1557352529215800711,290414
1557352529266245934,290414
1557352529315971165,290414
1557352529366096410,290414
1557352529416159923,290414
1557352529466116711,290414
1557352529516305040,290414
1557352529566639334,290414
1557352529616541181,290414
1557352529666577819,290414
1557352529716778265,290414
1557352529767205014,290414
1557352529817001759,290414
1557352529867352721,290414
1557352529916994227,290414
1557352529967031341,290414
1557352530017104971,290414
1557352530067285566,290414
1557352530117144010,290414
1557352530167409621,290414
1557352530217280707,290414
1557352530267519243,290414
1557352530317501951,290414
1557352530367548941,290414
1557352530417657247,290414
1557352530467639447,290414
1557352530518283238,290414
1557352530567767537,290414
1557352530617800879,290414
1557352530668491258,290414
1557352530719130322,290414
1557352530768895730,290414
1557352530818751186,290414
1557352530868735324,290414
1557352530918937037,290414
1557352530968892475,290414
1557352531018909374,290414
1557352531068894408,290414
1557352531118944309,290414
1557352531168975728,290414
1557352531219010750,290414
1557352531268869366,290414
1557352531319008025,290414
1557352531369027746,290414
1557352531419144924,290414
1557352531469020743,290414
1557352531519207803,290414
1557352531569281181,290414
1557352531619675833,290414
1557352531669430525,290414
1557352531719758316,290414
1557352531769666256,290414
1557352531819651528,290414
1557352531869802763,290414
1557352531919919381,290414
1557352531969886089,290414
1557352532020062993,290414
1557352532070002892,290414
1557352532120184678,290414
1557352532170208004,290414
1557352532220443766,290414
1557352532270392024,290414
1557352532320500187,290414
1557352532370463633,290414
1557352532420757405,290414
1557352532470683568,290414
1557352532520835847,290414
1557352532570764621,290414
1557352532620871552,290414
1557352532670896371,290414
1557352532721085146,290414
1557352532771093259,290414
1557352532821198611,290414
1557352532871271607,290414
1557352532921354600,290414
1557352532971267645,290414
1557352533021328082,290414
1557352533071401260,290414
1557352533121453416,290414
1557352533171521237,290414
1557352533221596774,290414
1557352533271722892,290414
1557352533321906411,290414
1557352533371924937,290414
1557352533422075612,290415
1557352533471899908,290415
1557352533522058263,290416
1557352533572035685,290417
1557352533622142429,290420
1557352533672119302,290425
1557352533722797295,290429
1557352533772746222,290433
1557352533822809129,290434
1557352533873009486,290435
1557352533923222837,290437
1557352533973099705,290439
1557352534023316449,290443
1557352534073115691,290447
1557352534123133905,290454
1557352534173163628,290463
1557352534223263288,290475
1557352534273284022,290487
1557352534323410914,290505
1557352534373384053,290526
1557352534423577720,290552
1557352534473529300,290581
1557352534523808634,290616
1557352534573727905,290657
1557352534623805365,290707
1557352534673786385,290755
1557352534723942609,290806
1557352534773987117,290858
1557352534824071842,290915
1557352534874186550,290976
1557352534924517258,291042
1557352534974330617,291110
1557352535024566497,291176
1557352535074479873,291250
1557352535124582729,291326
1557352535174652173,291400
1557352535225015317,291480
1557352535274733390,291563
1557352535325161708,291650
1557352535374942838,291737
1557352535424927268,291828
1557352535474931780,291923
1557352535525216661,292020
1557352535575295137,292116
1557352535625257890,292202
1557352535675422733,292291
1557352535725416669,292383
1557352535775385895,292480
1557352535826379788,292578
1557352535875721144,292674
1557352535926320167,292778
1557352535976326086,292871
1557352536026418157,292967
1557352536076341702,293068
1557352536126375761,293155
1557352536176505240,293249
1557352536226854012,293358
1557352536276663220,293459
1557352536326799919,293554
1557352536376616121,293653
1557352536426718048,293754
1557352536476651117,293858
1557352536526764199,293953
1557352536577009800,294053
1557352536626756870,294157
1557352536676741116,294244
1557352536727062850,294334
1557352536776937996,294432
1557352536827307324,294534
1557352536877127281,294632
1557352536927295693,294735
1557352536977308754,294840
1557352537027690690,294943
1557352537077544565,295041
1557352537127540761,295140
1557352537177529001,295238
1557352537227550695,295334
1557352537277597464,295438
1557352537327671553,295544
1557352537377842514,295637
1557352537427799704,295732
1557352537477903376,295838
1557352537528277569,295948
1557352537578199707,296053
1557352537628636931,296149
1557352537678509009,296254
1557352537728359492,296372
1557352537778576817,296477
1557352537828980306,296579
1557352537879023560,296686
1557352537929173724,296784
1557352537978878955,296886
1557352538029181624,296992
1557352538079153510,297106
1557352538129248423,297214
1557352538179166029,297315
1557352538229342726,297415
1557352538279369618,297515
1557352538329320949,297622
1557352538379430680,297730
1557352538430192326,297836
1557352538480136339,297952
1557352538530381591,298052
1557352538580318689,298148
1557352538630600634,298255
1557352538680616656,298359
1557352538730562049,298460
1557352538780546511,298569
1557352538830521007,298684
1557352538880615615,298782
1557352538930830016,298883
1557352538980597837,298991
1557352539030619562,299105
1557352539080770058,299214
1557352539131360701,299326
1557352539181279975,299434
1557352539231973654,299543
1557352539282224973,299657
1557352539331851954,299762
1557352539381985494,299859
1557352539431958862,299964
1557352539481818346,300073
1557352539531615943,300168
1557352539581708847,300268
1557352539632158036,300373
1557352539682261417,300478
1557352539732483214,300565
1557352539782792311,300661
1557352539832269223,300768
1557352539882668681,300872
1557352539932710028,300961
1557352539982654680,301063
1557352540032537516,301174
1557352540083189186,301273
1557352540134024464,301374
1557352540182787868,301470
1557352540233009918,301573
1557352540282805211,301676
1557352540333732587,301786
1557352540383647536,301887
1557352540433782373,301996
1557352540483659181,302103
1557352540534233300,302205
1557352540583868147,302310
1557352540634153891,302411
1557352540683988386,302516
1557352540733955219,302629
1557352540783877384,302744
1557352540833950248,302845
1557352540883956057,302938
1557352540933920814,303043
1557352540984096734,303158
1557352541034375109,303266
1557352541084281354,303369
1557352541134307025,303488
1557352541184369245,303593
1557352541234424533,303687
1557352541284505570,303799
1557352541334657890,303916
1557352541384839288,304022
1557352541434671075,304127
1557352541484795787,304236
1557352541535225809,304346
1557352541585171721,304454
1557352541635097181,304548
1557352541685296880,304649
1557352541735267988,304759
1557352541785334001,304858
1557352541835331257,304952
1557352541885490198,305057
1557352541935544717,305156
1557352541985557087,305251
1557352542035705074,305360
1557352542085713306,305475
1557352542135685986,305582
1557352542185862982,305672
1557352542235948859,305765
1557352542285882034,305870
1557352542336065116,305971
1557352542386060142,306054
1557352542436122009,306149
1557352542486164056,306255
1557352542536304328,306348
1557352542586296452,306435
1557352542636288768,306535
1557352542686897300,306639
1557352542736956743,306728
1557352542787053823,306822
1557352542837230039,306917
1557352542887221566,307013
1557352542937255553,307115
1557352542987303495,307216
1557352543037254786,307309
1557352543087203642,307399
1557352543137221417,307488
1557352543187483277,307588
1557352543237733717,307692
1557352543287459267,307784
1557352543337542074,307878
1557352543387582808,307977
1557352543437581949,308066
1557352543487792731,308148
1557352543537896707,308237
1557352543587866889,308328
1557352543638094720,308415
1557352543688070098,308501
1557352543738096025,308587
1557352543788128035,308669
1557352543838168453,308755
1557352543888307870,308844
1557352543938366414,308929
1557352543988412001,309012
1557352544038993435,309094
1557352544088657126,309179
1557352544138806282,309258
1557352544188711537,309336
1557352544238885425,309418
1557352544288931899,309505
1557352544339001388,309588
1557352544389228527,309664
1557352544439450367,309749
