%time,field.data
1557352528167631455,64
1557352528267569884,64
1557352528367579339,64
1557352528467602367,64
1557352528567576421,64
1557352528667474762,64
1557352528767501287,64
1557352528867701702,64
1557352528967512684,64
1557352529067537685,64
1557352529167717109,64
1557352529267618518,64
1557352529367600690,64
1557352529467520800,64
1557352529567595951,64
1557352529667509278,64
1557352529767550983,64
1557352529867692538,64
1557352529967482532,64
1557352530067556410,64
1557352530167549452,64
1557352530267538759,64
1557352530367656184,64
1557352530467642223,64
1557352530567552969,64
1557352530667701994,64
1557352530767581784,64
1557352530867607821,64
1557352530967544702,64
1557352531067648974,64
1557352531167541330,64
1557352531267489526,64
1557352531367513594,64
1557352531467609551,64
1557352531567680940,64
1557352531667663704,64
1557352531767817578,64
1557352531867606725,64
1557352531967774607,64
1557352532067576021,64
1557352532167660740,64
1557352532267591859,64
1557352532367566646,64
1557352532467579479,64
1557352532567711870,64
1557352532667578584,64
1557352532767687290,64
1557352532867637987,64
1557352532967616500,64
1557352533067528169,64
1557352533167558079,64
1557352533267555004,67
1557352533367487218,73
1557352533467600974,78
1557352533567567527,80
1557352533667553075,88
1557352533767547891,89
1557352533867702109,92
1557352533967582478,100
1557352534067578149,110
1557352534167632783,124
1557352534267565117,127
1557352534367688737,127
1557352534467637177,127
1557352534567710681,127
1557352534667563360,127
1557352534767616035,127
1557352534867656986,127
1557352534967648894,127
1557352535067606225,127
1557352535167571610,127
1557352535267734210,127
1557352535367533252,127
1557352535467541355,127
1557352535567575977,127
1557352535667492760,127
1557352535767542791,127
1557352535867613423,127
1557352535967553895,127
1557352536067586355,127
1557352536167555900,127
1557352536267675211,127
1557352536367583866,127
1557352536467727772,127
1557352536567611537,127
1557352536667665851,127
1557352536767584130,127
1557352536867719676,127
1557352536967518604,127
1557352537067629890,127
1557352537167526683,127
1557352537267513871,127
1557352537367555281,127
1557352537467519439,127
1557352537567736009,127
1557352537667623056,127
1557352537767514574,127
1557352537867679073,127
1557352537967623374,127
1557352538067762424,127
1557352538167497060,127
1557352538267534034,127
1557352538367476576,127
1557352538467652456,127
1557352538567732531,127
1557352538667722250,127
1557352538767680093,123
1557352538867654070,123
1557352538967724713,123
1557352539067565686,123
1557352539167619740,124
1557352539268518213,127
1557352539368092473,127
1557352539467637199,127
1557352539567491723,127
1557352539667616987,127
1557352539767877614,127
1557352539867905183,127
1557352539967958481,127
1557352540067582424,127
1557352540167845526,127
1557352540267493761,127
1557352540367801827,127
1557352540467555771,127
1557352540567677886,127
1557352540667722152,127
1557352540767557191,127
1557352540867623627,127
1557352540967632485,127
1557352541067606402,127
1557352541167493851,127
1557352541267481602,127
1557352541367748431,126
1557352541467683370,116
1557352541567744642,115
1557352541667517805,115
1557352541767692852,116
1557352541867539745,122
1557352541967718485,127
1557352542067602363,127
1557352542167642755,127
1557352542267733482,127
1557352542367606169,127
1557352542467507870,127
1557352542567461112,127
1557352542667544035,127
1557352542767655446,127
1557352542867575338,127
1557352542967689057,127
1557352543067701119,127
1557352543167776991,127
1557352543267813753,127
1557352543367712508,127
1557352543467639761,127
1557352543567656135,127
1557352543667804953,127
1557352543767584535,127
1557352543867702214,127
1557352543967741799,127
1557352544067820846,127
1557352544167509322,127
1557352544267511389,127
1557352544367675586,127
1557352544467652252,127
1557352544567742993,127
1557352544667661369,127
1557352544767489816,127
1557352544868007691,127
1557352544968034822,127
1557352545067869638,127
1557352545168054149,127
1557352545268098441,127
1557352545368432123,127
1557352545467780515,127
1557352545567573047,127
1557352545667588216,127
1557352545768009329,127
1557352545867936666,127
1557352545968143466,127
1557352546068535654,127
1557352546167762925,127
1557352546267880385,127
1557352546367834913,127
1557352546468026032,127
1557352546567823398,127
1557352546667767626,127
1557352546767508484,127
1557352546867562531,127
1557352546967687655,127
1557352547067624017,127
1557352547167889175,127
1557352547267643973,127
1557352547367692602,127
1557352547467609038,127
1557352547567534105,127
1557352547667754480,127
1557352547767816775,127
1557352547867832626,127
1557352547967692669,127
1557352548067796899,127
1557352548167723697,127
1557352548267459046,127
1557352548367815878,127
1557352548468329872,127
1557352548567839700,127
1557352548667599476,127
1557352548767479909,127
1557352548867720959,127
1557352548967799567,127
1557352549067918604,127
1557352549167849171,127
1557352549267821738,127
1557352549367779542,127
1557352549467636159,127
1557352549567884821,127
1557352549667687039,127
1557352549767498298,127
1557352549867658920,127
1557352549967471849,127
1557352550067582388,127
1557352550167618216,127
1557352550267618337,127
1557352550367575877,127
1557352550467531909,127
1557352550567782183,127
1557352550667558206,127
1557352550767469135,127
1557352550867504670,127
1557352550967646277,127
1557352551067738228,127
1557352551167812458,127
1557352551267686001,127
1557352551367688038,127
1557352551467722010,127
1557352551567699060,127
1557352551667669801,127
1557352551767669810,127
1557352551867605604,127
1557352551967575404,127
1557352552067764328,127
1557352552167657525,127
1557352552267687684,127
1557352552367589002,127
1557352552467978172,127
1557352552568168151,127
1557352552667810055,127
1557352552767726556,127
1557352552867577693,127
1557352552967753540,127
1557352553067697856,127
1557352553167804204,123
1557352553267669052,110
1557352553367570970,96
1557352553467565938,78
1557352553567608109,67
1557352553667496576,64
1557352553767568797,64
1557352553867868383,64
1557352553967558778,64
1557352554067553415,64
1557352554167481774,64
1557352554267613420,64
1557352554367848213,64
1557352554467671366,64
1557352554567742587,64
1557352554667511282,64
1557352554767495139,64
1557352554867690120,64
1557352554967565646,64
1557352555067695265,64
1557352555167496187,64
1557352555267506261,76
1557352555367681178,119
1557352555467535650,127
1557352555567668415,127
1557352555667596857,127
1557352555767546648,127
1557352555867535456,127
1557352555967913919,127
1557352556067511641,127
1557352556167621190,127
1557352556267704946,127
1557352556367648870,127
1557352556467680822,127
1557352556567755241,127
1557352556667755850,127
1557352556767511934,127
1557352556867547486,127
1557352556967784702,127
1557352557067906430,127
1557352557168155023,127
1557352557268637316,127
1557352557368029739,127
1557352557468306240,127
1557352557568116206,127
1557352557667951105,127
1557352557768095542,127
1557352557868199562,127
1557352557968056377,127
1557352558067842176,127
1557352558167614072,127
1557352558267973516,127
1557352558368158191,127
1557352558468140644,127
1557352558567987588,127
1557352558667967932,127
1557352558767715121,127
1557352558867774926,127
1557352558967934518,127
1557352559067992809,127
1557352559168205698,127
1557352559268050692,127
1557352559367930118,127
1557352559467911513,127
1557352559567917656,127
1557352559667872785,127
1557352559768401529,127
1557352559868105089,127
1557352559968092474,127
1557352560068227792,127
1557352560167713805,127
1557352560268205234,127
1557352560368611227,127
1557352560468373485,127
1557352560568276169,127
1557352560668197169,127
1557352560768130120,127
1557352560868224431,127
1557352560968155477,127
1557352561067806063,127
1557352561167743168,127
1557352561268559969,127
1557352561368154542,127
1557352561468342300,127
1557352561568144791,127
1557352561668368847,127
1557352561768051585,127
1557352561868410664,64
1557352561968263664,64
1557352562067885919,64
1557352562167908184,64
1557352562267689522,64
1557352562367851329,64
1557352562468137155,64
1557352562568101086,64
1557352562668351788,64
1557352562768445648,64
1557352562868236210,64
1557352562968578651,121
1557352563068195122,127
1557352563167719712,127
1557352563268064034,127
1557352563368034504,127
1557352563468168949,127
1557352563567944552,127
1557352563668040524,127
1557352563768058014,127
1557352563867707297,127
1557352563968019219,127
1557352564067651821,127
1557352564168157470,127
1557352564268247713,127
1557352564368156582,127
1557352564468414394,127
1557352564567690686,127
1557352564667631922,127
1557352564767717057,127
1557352564867855168,127
1557352564967613832,127
1557352565068276052,127
1557352565168287336,127
1557352565268494428,127
1557352565368067261,127
1557352565468115814,127
1557352565568273863,127
1557352565667856791,127
1557352565767640772,127
1557352565867558288,127
1557352565967723807,127
1557352566067627336,127
1557352566167881369,127
1557352566267775153,127
1557352566367706234,127
1557352566468184247,127
1557352566567836151,127
1557352566668537031,127
1557352566767686319,127
1557352566867992399,127
1557352566967933536,127
1557352567068119020,127
1557352567168215400,127
1557352567267746689,127
1557352567368100748,127
1557352567468074529,127
1557352567568072590,127
1557352567668767371,127
1557352567768154415,127
1557352567868516445,127
1557352567967787747,127
1557352568067782480,127
1557352568167813283,127
1557352568267712823,127
1557352568367580409,127
1557352568467610284,127
1557352568567754611,127
1557352568668244565,124
1557352568768195493,122
1557352568868360037,122
1557352568967778089,127
1557352569067533056,127
1557352569167652965,127
1557352569268231053,127
1557352569368180040,127
1557352569468042747,127
1557352569567907753,127
1557352569667949835,127
1557352569767958381,127
1557352569867680454,127
1557352569967752254,109
1557352570067719418,107
1557352570168077230,127
1557352570267635287,127
1557352570367703809,127
1557352570467520204,127
1557352570567512546,127
1557352570667659036,127
1557352570767481041,127
1557352570867689982,127
1557352570968114389,127
1557352571067715254,127
1557352571167602662,124
1557352571267707459,79
1557352571367653603,78
1557352571467634298,88
1557352571567613946,125
1557352571667497245,127
1557352571767596356,127
1557352571867557896,127
1557352571967619938,127
1557352572067938676,127
1557352572167834479,127
1557352572267990523,127
1557352572367766943,127
1557352572468133665,127
1557352572568521916,105
1557352572667812921,105
1557352572767523265,112
1557352572867756270,125
1557352572967773496,127
1557352573067503722,127
1557352573167561194,127
1557352573267464339,127
1557352573367488056,127
1557352573467525112,127
1557352573567874805,127
1557352573667600855,127
1557352573767581445,127
1557352573867628606,127
1557352573967639827,127
1557352574067547147,127
1557352574167859502,127
1557352574267664524,127
1557352574367500442,127
1557352574467682903,127
1557352574567673813,127
1557352574667625266,64
1557352574767698192,64
1557352574867585960,64
1557352574967742725,64
1557352575067599182,64
1557352575167707548,64
1557352575267606331,64
1557352575367520971,64
1557352575467686533,64
1557352575567862428,64
1557352575667772003,64
1557352575767647689,64
1557352575867609760,64
1557352575968118045,64
1557352576067558211,64
1557352576167550074,64
1557352576267650104,64
1557352576367653175,64
1557352576467496285,64
1557352576567559445,64
1557352576667481094,64
1557352576767672169,64
1557352576867600571,64
1557352576967646115,64
1557352577067484174,64
1557352577167599427,64
1557352577267677854,64
1557352577367582911,64
1557352577467560437,64
1557352577567705468,64
1557352577667509100,64
1557352577767500227,64
1557352577867700114,64
1557352577967665170,64
1557352578067560148,64
1557352578167485873,64
1557352578267495480,64
1557352578367478528,64
1557352578467606847,64
1557352578567517865,68
1557352578667592623,108
1557352578767620427,123
1557352578867619473,127
1557352578967593337,127
1557352579067602676,127
1557352579167677906,127
1557352579267549080,127
1557352579367743710,127
1557352579467591614,127
1557352579567749941,127
1557352579667675768,127
1557352579767611991,127
1557352579867626910,127
1557352579967700107,127
1557352580067515079,127
1557352580167628520,127
1557352580267563750,127
1557352580367509100,127
1557352580467921528,127
1557352580567802251,127
1557352580667728813,127
1557352580767579603,127
1557352580867551626,127
1557352580967606276,127
1557352581067579253,127
1557352581167532206,127
1557352581267598027,127
1557352581367706086,127
1557352581467682976,127
1557352581567729587,127
1557352581667765751,124
1557352581767635097,64
1557352581867650670,64
1557352581967629070,64
1557352582067597946,64
1557352582167466690,64
1557352582267564308,64
1557352582367670281,64
1557352582467509593,64
1557352582567567169,64
1557352582668398253,64
1557352582768230218,64
1557352582867818633,64
1557352582967621941,64
1557352583067681633,64
1557352583167629577,64
1557352583268150040,64
1557352583368161951,64
1557352583468459652,64
1557352583567980494,64
1557352583668051463,64
1557352583767512930,64
1557352583867628679,64
1557352583967609027,64
1557352584067623729,64
1557352584167829491,64
1557352584267796314,64
1557352584368008093,64
1557352584467949698,64
1557352584567850164,64
1557352584668146712,64
1557352584767654884,64
1557352584867739921,64
1557352584967559801,64
1557352585067887017,64
1557352585168124944,64
1557352585267854547,64
1557352585368099315,64
1557352585467748135,64
1557352585567805061,64
1557352585667927705,64
1557352585767965321,64
1557352585867913441,64
1557352585967521956,64
1557352586067506585,64
1557352586167574777,64
1557352586268126397,64
1557352586367893950,64
1557352586468553778,64
1557352586568144347,64
1557352586667881222,64
1557352586767518713,64
1557352586867958403,64
1557352586967841178,64
1557352587067999347,64
1557352587168062757,64
1557352587267905475,64
1557352587368070589,64
1557352587468193347,64
1557352587568115350,64
1557352587667841491,64
1557352587767990441,64
1557352587867888138,64
1557352587967823631,64
1557352588067636002,64
1557352588168734318,64
1557352588268359890,64
1557352588368448764,64
1557352588468354971,64
1557352588568310817,64
1557352588667668536,64
1557352588767915440,64
1557352588867994913,64
1557352588967798053,64
1557352589068179118,64
1557352589168362771,64
1557352589268114695,64
1557352589367895877,64
1557352589467562694,64
1557352589567653450,64
1557352589667590225,64
1557352589767493566,64
1557352589867549329,64
1557352589967527477,55
1557352590067668083,43
1557352590167597178,40
1557352590267673690,32
1557352590367633517,27
1557352590467634081,24
1557352590567754114,23
1557352590667450161,23
1557352590767531880,23
1557352590868050705,23
1557352590967748897,23
1557352591067551421,23
1557352591168075158,23
1557352591268036782,23
1557352591367972529,23
1557352591467737334,18
1557352591567761481,18
1557352591667720842,16
1557352591767717466,15
1557352591867502511,10
1557352591967484733,7
1557352592067496783,1
1557352592167658057,0
1557352592267526604,0
1557352592367661357,0
1557352592467509950,0
1557352592567480547,0
1557352592667700699,0
1557352592767685220,0
1557352592867989979,0
1557352592968098455,0
1557352593068147024,0
1557352593168474525,0
1557352593268097591,0
1557352593368584211,0
1557352593468238645,0
1557352593568161871,0
1557352593668130464,0
1557352593767895979,0
1557352593868303835,0
1557352593968111192,0
1557352594068006325,0
1557352594168209960,0
1557352594268736156,0
1557352594368449209,0
1557352594468429615,0
1557352594568339799,0
1557352594667534581,0
1557352594767467676,0
1557352594867497542,0
1557352594967582076,0
1557352595067488759,0
1557352595167467097,0
1557352595267567554,0
1557352595367520488,0
1557352595467597310,0
1557352595567557915,0
1557352595667489190,0
1557352595767560372,0
1557352595867495013,0
1557352595967578369,0
1557352596067519450,0
1557352596167586687,0
1557352596267653982,0
1557352596367733049,0
1557352596468050268,0
1557352596567728719,0
1557352596667621022,0
1557352596767513952,0
1557352596867538051,0
1557352596967541067,0
1557352597067594907,0
1557352597167481472,0
1557352597267593296,0
1557352597368115599,0
1557352597467936260,0
1557352597567804195,0
1557352597667797216,0
1557352597767996498,0
1557352597868232352,0
1557352597968216506,0
1557352598067926458,0
1557352598167684750,0
1557352598267636366,0
1557352598368398019,0
1557352598468293444,0
1557352598568079046,0
1557352598667586342,0
1557352598767660351,0
1557352598867497007,0
1557352598967652807,0
1557352599067656389,0
1557352599167490801,0
1557352599267498469,0
1557352599367601398,0
1557352599467784814,0
1557352599567691130,0
1557352599667489941,0
1557352599767520660,0
1557352599867722826,0
1557352599967615596,0
1557352600067651119,0
1557352600167488672,0
1557352600267532313,0
1557352600367640880,0
1557352600467647223,0
