%time,field.data
1557352528102684746,300346
1557352528152869269,300346
1557352528202940203,300346
1557352528253013466,300346
1557352528303634068,300346
1557352528353605998,300346
1557352528403562149,300346
1557352528453507042,300346
1557352528503769447,300346
1557352528553751963,300346
1557352528603763789,300346
1557352528653674615,300346
1557352528703826529,300346
1557352528753733595,300346
1557352528803927303,300346
1557352528853763641,300346
1557352528903843543,300346
1557352528953794892,300346
1557352529004009730,300346
1557352529054144238,300346
1557352529104075165,300346
1557352529154200723,300346
1557352529204310936,300346
1557352529254269448,300346
1557352529304382432,300346
1557352529354339355,300346
1557352529404439306,300346
1557352529454528986,300346
1557352529504962984,300346
1557352529555005259,300346
1557352529604924133,300346
1557352529655096089,300346
1557352529705360711,300346
1557352529755308408,300346
1557352529805510447,300346
1557352529855529320,300346
1557352529905343273,300346
1557352529955387157,300346
1557352530005962267,300346
1557352530056053860,300346
1557352530105944806,300346
1557352530156215984,300346
1557352530206213237,300346
1557352530256350708,300346
1557352530306223714,300346
1557352530356317516,300346
1557352530406151869,300346
1557352530456118459,300346
1557352530506103686,300346
1557352530556440876,300346
1557352530606239463,300346
1557352530656755981,300346
1557352530706692882,300346
1557352530756950831,300346
1557352530806588805,300346
1557352530856789487,300346
1557352530906815955,300346
1557352530956980494,300346
1557352531006933913,300346
1557352531057003873,300346
1557352531107017390,300346
1557352531157220078,300346
1557352531207214512,300346
1557352531257240705,300346
1557352531307268389,300346
1557352531357467118,300346
1557352531407519221,300346
1557352531457582076,300346
1557352531507848070,300346
1557352531557752780,300346
1557352531608547350,300346
1557352531658409440,300346
1557352531708736297,300346
1557352531758886290,300346
1557352531808672700,300346
1557352531858713273,300346
1557352531908772317,300346
1557352531958533750,300346
1557352532008784610,300346
1557352532058706515,300346
1557352532108960808,300346
1557352532158968995,300346
1557352532209015340,300346
1557352532259060192,300346
1557352532309110455,300346
1557352532359154583,300346
1557352532409265036,300346
1557352532459314122,300346
1557352532509391924,300346
1557352532559473001,300346
1557352532609637864,300346
1557352532659607117,300346
1557352532709986384,300346
1557352532759932889,300346
1557352532809899002,300346
1557352532860237940,300346
1557352532910040573,300346
1557352532960122508,300346
1557352533010177801,300346
1557352533060785597,300346
1557352533110785964,300346
1557352533160851793,300346
1557352533210906998,300346
1557352533261020604,300346
1557352533311112358,300346
1557352533361056682,300346
1557352533411202745,300346
1557352533461104317,300346
1557352533510966741,300346
1557352533561085604,300349
1557352533610951354,300356
1557352533661044167,300361
1557352533711093064,300361
1557352533761140964,300364
1557352533811445754,300365
1557352533861755415,300368
1557352533911767052,300369
1557352533961806711,300373
1557352534011949723,300377
1557352534062035380,300379
1557352534111987043,300382
1557352534162395531,300388
1557352534212338809,300392
1557352534262479375,300398
1557352534312754374,300405
1557352534362742320,300414
1557352534412865687,300425
1557352534463691443,300441
1557352534513484735,300462
1557352534563536654,300488
1557352534613403243,300515
1557352534663356282,300545
1557352534713959615,300581
1557352534763965590,300623
1557352534813816659,300669
1557352534863898655,300716
1557352534913915290,300764
1557352534964093064,300817
1557352535014189419,300868
1557352535064296634,300929
1557352535114439566,300997
1557352535164512134,301060
1557352535214710382,301121
1557352535264659279,301185
1557352535314764210,301252
1557352535364638989,301328
1557352535414772384,301401
1557352535464743509,301472
1557352535514833575,301539
1557352535565013607,301608
1557352535615061760,301686
1557352535665091694,301763
1557352535715359453,301838
1557352535765289400,301910
1557352535815266304,301988
1557352535865619037,302067
1557352535915586527,302149
1557352535965539339,302231
1557352536015741862,302314
1557352536066526996,302401
1557352536116292558,302472
1557352536166353192,302537
1557352536216375232,302617
1557352536266853505,302697
1557352536316855700,302767
1557352536366815056,302835
1557352536416599761,302907
1557352536466648193,302991
1557352536516927533,303070
1557352536566996084,303153
1557352536617122335,303244
1557352536667206967,303325
1557352536717344147,303403
1557352536767275289,303489
1557352536817185945,303575
1557352536867628195,303662
1557352536917435168,303755
1557352536967507502,303848
1557352537017882080,303937
1557352537067867642,304027
1557352537117764072,304123
1557352537167817574,304217
1557352537217873488,304303
1557352537267813676,304398
1557352537317844856,304502
1557352537368022199,304594
1557352537418009682,304681
1557352537468091566,304776
1557352537518517135,304875
1557352537568392210,304971
1557352537618708258,305060
1557352537668716957,305151
1557352537718559173,305254
1557352537768640827,305355
1557352537819594105,305451
1557352537869353378,305550
1557352537919584693,305642
1557352537969716174,305738
1557352538019974785,305835
1557352538069773439,305933
1557352538119897994,306024
1557352538169687989,306119
1557352538219797192,306217
1557352538269667062,306317
1557352538319760764,306417
1557352538369632547,306515
1557352538419737102,306612
1557352538469752293,306711
1557352538520184326,306806
1557352538569890984,306898
1557352538620190190,307001
1557352538670099609,307106
1557352538720459839,307205
1557352538770346025,307307
1557352538820458271,307416
1557352538870434712,307516
1557352538920746559,307609
1557352538970489023,307709
1557352539020614266,307816
1557352539070804791,307926
1557352539121380471,308029
1557352539171084648,308133
1557352539222106226,308241
1557352539272210062,308351
1557352539321924382,308450
1557352539371836874,308545
1557352539421643785,308651
1557352539471569522,308761
1557352539521283846,308859
1557352539571489365,308958
1557352539621638332,309063
1557352539671844877,309168
1557352539722027127,309261
1557352539772962110,309363
1557352539822712676,309472
1557352539872865819,309587
1557352539923053731,309685
1557352539972840514,309788
1557352540022703323,309899
1557352540073189002,310007
1557352540123042340,310109
1557352540172787510,310215
1557352540222765591,310325
1557352540272709918,310431
1557352540322824048,310534
1557352540372685733,310638
1557352540422756262,310745
1557352540472725488,310845
1557352540523172110,310945
1557352540572985684,311053
1557352540623239079,311159
1557352540673201002,311263
1557352540723172389,311367
1557352540773191197,311468
1557352540823225647,311566
1557352540873450868,311661
1557352540923442577,311763
1557352540973435401,311875
1557352541023631607,311980
1557352541073584086,312078
1557352541123653429,312192
1557352541173643366,312304
1557352541223748493,312396
1557352541273801319,312507
1557352541323999668,312625
1557352541374100811,312730
1557352541424157989,312835
1557352541474182107,312944
1557352541524475339,313057
1557352541574400089,313168
1557352541624425951,313271
1557352541674405870,313378
1557352541724455158,313493
1557352541774594703,313606
1557352541824632440,313707
1557352541875251919,313816
1557352541925310213,313934
1557352541975353442,314043
1557352542025298932,314166
1557352542075336328,314292
1557352542125560991,314406
1557352542176102841,314509
1557352542225913031,314619
1557352542275699684,314742
1557352542325642108,314869
1557352542375707464,314961
1557352542425701100,315067
1557352542475592924,315189
1557352542525651559,315313
1557352542575601294,315422
1557352542625695225,315533
1557352542675728727,315650
1557352542725604152,315756
1557352542775685559,315865
1557352542825763646,315983
1557352542876032191,316102
1557352542926276186,316219
1557352542976210894,316325
1557352543026542576,316431
1557352543076307195,316548
1557352543126209480,316660
1557352543176344386,316770
1557352543226433653,316882
1557352543276509411,316985
1557352543326544627,317100
1557352543376630225,317216
1557352543426710207,317324
1557352543476841269,317431
1557352543526727955,317541
1557352543576890590,317652
1557352543626869470,317758
1557352543677045100,317866
1557352543727057678,317983
1557352543777104424,318088
1557352543827090378,318193
1557352543877344906,318297
1557352543927248632,318405
1557352543977928776,318521
1557352544028190032,318638
1557352544077950648,318744
1557352544128054131,318847
1557352544178211080,318949
1557352544228221114,319051
1557352544278259037,319154
1557352544328123831,319255
1557352544378103260,319356
1557352544428222963,319457
1557352544478206393,319552
1557352544528436434,319650
1557352544578188611,319750
1557352544628662738,319848
1557352544678376267,319944
1557352544728457466,320037
1557352544778539273,320132
1557352544829031119,320232
1557352544879073469,320332
1557352544929510570,320429
1557352544979823764,320522
1557352545029763905,320617
1557352545079974697,320710
1557352545129902995,320809
1557352545180558969,320907
1557352545230451359,321002
1557352545281485633,321105
1557352545331192336,321194
1557352545380833232,321270
1557352545430825499,321356
1557352545480680003,321433
1557352545530768107,321511
1557352545580716317,321593
1557352545631078414,321674
1557352545681234409,321749
1557352545731597572,321816
1557352545781768328,321878
1557352545831534654,321938
1557352545881675014,322001
1557352545931848341,322072
1557352545981977776,322155
1557352546031921833,322231
1557352546082101727,322308
1557352546131739085,322384
1557352546182081943,322462
1557352546232281927,322527
1557352546282625832,322597
1557352546331901764,322678
1557352546382200361,322759
1557352546432373387,322841
1557352546482728463,322922
1557352546532757207,323006
1557352546582500696,323095
1557352546632707335,323181
1557352546682674941,323266
1557352546732414528,323357
1557352546782398758,323437
1557352546832900143,323518
1557352546882528935,323608
1557352546932927115,323703
1557352546982898800,323791
1557352547032979993,323882
1557352547083837579,323984
1557352547134365348,324074
1557352547183782981,324164
1557352547234227075,324249
1557352547283877974,324338
1557352547334225729,324436
1557352547384132429,324531
1557352547434073673,324623
1557352547483913710,324711
1557352547533940780,324804
1557352547583993674,324899
1557352547634415125,324987
1557352547684132230,325072
1557352547734507186,325167
1557352547784500846,325264
1557352547834509222,325344
1557352547884414204,325435
1557352547934867142,325538
1557352547984618225,325635
1557352548034667508,325725
1557352548084816052,325820
1557352548134883581,325921
1557352548184947714,326014
1557352548234884937,326106
1557352548285197396,326204
1557352548335397620,326295
1557352548385951375,326386
1557352548435908756,326486
1557352548486405037,326587
1557352548535913743,326677
