%time,field.data
1557352528167711987,64
1557352528267703041,64
1557352528367727291,64
1557352528467641520,64
1557352528567570244,64
1557352528667560294,64
1557352528767640677,64
1557352528867687662,64
1557352528967602880,64
1557352529067747342,64
1557352529167711967,64
1557352529267747556,64
1557352529367606746,64
1557352529467676373,64
1557352529567654842,64
1557352529667654372,64
1557352529767711840,64
1557352529867620801,64
1557352529967628010,64
1557352530067627994,64
1557352530167641677,64
1557352530267627100,64
1557352530367620323,64
1557352530467633704,64
1557352530567651177,64
1557352530667715537,64
1557352530767759656,64
1557352530867631931,64
1557352530967623010,64
1557352531067618064,64
1557352531167568281,64
1557352531267635944,64
1557352531367600501,64
1557352531467721734,64
1557352531567757330,64
1557352531667809855,64
1557352531767806547,64
1557352531867675429,64
1557352531967785804,64
1557352532067663661,64
1557352532167652417,64
1557352532267583667,64
1557352532367642372,64
1557352532467590912,64
1557352532567805128,64
1557352532667568957,64
1557352532767744913,64
1557352532867751960,64
1557352532967720319,64
1557352533067601427,64
1557352533167691345,64
1557352533267634727,64
1557352533367664523,65
1557352533467726880,77
1557352533567670979,85
1557352533667670751,94
1557352533767746861,96
1557352533867608441,106
1557352533967704810,114
1557352534067669148,124
1557352534167736845,124
1557352534267618529,124
1557352534367761456,124
1557352534467839206,124
1557352534567764072,124
1557352534667638123,124
1557352534767783358,124
1557352534867794011,124
1557352534967703415,124
1557352535067717318,124
1557352535167794899,124
1557352535267755733,124
1557352535367759666,124
1557352535467686504,124
1557352535567682161,124
1557352535667592107,124
1557352535767555145,124
1557352535867794832,124
1557352535967594563,124
1557352536067639880,113
1557352536167697041,101
1557352536267695093,110
1557352536367746818,123
1557352536467608534,124
1557352536567792075,125
1557352536667617869,125
1557352536767685627,125
1557352536867639894,125
1557352536967699407,125
1557352537067775195,125
1557352537167651563,125
1557352537267612862,125
1557352537367564025,125
1557352537467613199,125
1557352537567657521,125
1557352537667743988,125
1557352537767661768,125
1557352537867803067,125
1557352537967729421,125
1557352538067749010,125
1557352538167586948,125
1557352538267598034,125
1557352538367617739,125
1557352538467697485,125
1557352538567835494,125
1557352538667829736,125
1557352538767830580,125
1557352538867765194,125
1557352538967805216,126
1557352539067632417,126
1557352539167870916,126
